"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","292",NA,278.772446102405,5624069.306582
"Great Central","BYO","293",NA,342.027317707696,5821633.63449228
"Great Central","BYO","294",NA,301.550733815035,5957282.72678383
"Great Central","BYO","295",NA,213.85771727892,6202840.71500635
"Great Central","BYO","296",NA,268.326727004502,5975955.842552
"Great Central","BYO","297",NA,277.217958309754,5726013.8044432
"Great Central","BYO","298",NA,413.196674229567,5798696.49813269
"Great Central","BYO","299",NA,398.816985892244,5655535.53003242
"Great Central","BYO","300",NA,296.435930887999,5954964.59303754
"Great Central","BYO","301",NA,419.223448375572,5244694.2926783
"Great Central","BYO","302",NA,363.924093704935,5532421.76691764
"Great Central","BYO","303",NA,439.800479802667,5598129.37755766
"Great Central","BYO","304",NA,286.710285564689,6267720.68902241
"Great Central","BYO","305",NA,328.739337003105,5681401.00381296
"Great Central","BYO","306",NA,404.224941615069,5716545.78944614
"Great Central","BYO","307",NA,392.454999173707,5321858.81399601
"Great Central","BYO","308",NA,325.088621738914,5805989.82502576
"Great Central","BYO","309",NA,308.607607841132,5803167.21440719
"Great Central","BYO","310",NA,266.422670433984,5926744.72168764
"Great Central","BYO","311",NA,362.217341975315,5614152.79666944
"Great Central","BYO","312",NA,257.70893637912,5915600.41023662
"Great Central","BYO","313",NA,311.328453721825,5764207.90189584
"Great Central","BYO","314",NA,199.36104592475,6439357.6467914
"Great Central","BYO","315",NA,338.354292433507,5448140.66382696
"Great Central","BYO","316",NA,340.198992129373,5678079.13237312
"Great Central","BYO","317",NA,314.037864721944,5227158.66117204
"Great Central","BYO","318",NA,310.221151508807,5665674.93195442
"Great Central","BYO","319",NA,361.530842873013,5459821.44240988
"Great Central","BYO","320",NA,205.191542903719,6143649.46963274
"Great Central","BYO","321",NA,284.113552009365,5862943.81417239
"Great Central","BYO","322",NA,234.646011237492,5944807.00356672
"Great Central","BYO","323",NA,267.327418749226,5792738.18364417
"Great Central","BYO","324",NA,325.902867657216,5944610.32463972
"Great Central","BYO","325",NA,368.067761257166,5937283.01354212
"Great Central","BYO","326",NA,316.430845431113,5929271.82480114
"Great Central","BYO","327",NA,322.186944017736,5791155.67554618
"Great Central","BYO","328",NA,290.014305048474,5747223.04822551
"Great Central","BYO","329",NA,285.268045287058,5904186.13100678
"Great Central","BYO","330",NA,268.925037149745,5975997.27472575
"Great Central","BYO","331",NA,253.577935197711,6032150.17657805
"Great Central","BYO","332",NA,285.765671647201,6267044.74928206
"Great Central","BYO","333",NA,330.946073347684,5778804.54447396
"Great Central","BYO","334",NA,375.950016831772,5390972.65388052
"Great Central","BYO","335",NA,442.982338947771,5492916.51423562
"Great Central","BYO","336",NA,521.268176345799,5483415.06952525
"Great Central","BYO","337",NA,349.102653074915,5636872.06573543
"Great Central","BYO","338",NA,389.789101531814,5539795.20744504
"Great Central","BYO","339",NA,419.344890441465,5456449.61906269
"Great Central","BYO","340",NA,339.599510337883,5382994.9593979
"Great Central","BYO","341",NA,314.245224440496,5496946.89508402
"Great Central","BYO","342",NA,345.994259921775,5584900.60625905
"Great Central","BYO","343",NA,240.67077318942,6475420.22478198
"Great Central","BYO","344",NA,218.467701087629,6058531.05923094
"Great Central","BYO","345",NA,286.097920699223,5905088.0580888
"Great Central","BYO","346",NA,419.169584969501,5566009.08025001
"Great Central","BYO","347",NA,240.073904617926,6031984.56098994
"Great Central","BYO","348",NA,439.849706989674,5544631.85962709
"Great Central","BYO","349",NA,268.220185418059,5371308.86487973
"Great Central","BYO","350",NA,286.988881087795,5796771.4878538
"Great Central","BYO","351",NA,263.441090290084,6374008.36498989
