"stock","return_year","ttl_age","fw_age","escapement","catch","fertilized","hatchery_release","escapement_data_source","catch_data_source","age_data_source","stockid_source","brood_year"
"GCL",1984,3,2,2309.57414659268,3922.9156707573,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1984,4,2,59147.3884867978,163459.415545131,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1984,4,3,0,0,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1984,5,2,55611.1922777107,297781.305193351,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"GCL",1984,5,3,12326.889216021,40725.7789789106,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"GCL",1984,6,3,3914.95587287787,12945.3532927089,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1978
"SPR",1984,3,2,11780.2883713607,7251.18194929441,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1984,4,2,55786.9170287647,211701.848545038,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1984,4,3,946.535812641239,0,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1984,5,2,13446.8316368728,149451.56139251,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"SPR",1984,5,3,4905.99231443989,32904.420572917,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"SPR",1984,6,3,2233.43483592066,19640.2188593818,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1978
"GCL",1985,3,2,4277.64405388804,9872.67058554675,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1985,4,2,43958.4303973499,89970.559216944,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1985,4,3,3657.20849601072,5714.33935461391,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1985,5,2,49636.7335522374,165580.93702824,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1985,5,3,4065.43252926938,17765.0965786898,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1985,6,3,14678.5509712446,28696.3156407007,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"SPR",1985,3,2,28242.0716082178,11420.0651102772,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"SPR",1985,4,2,71781.1187752887,68116.8643085264,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1985,4,3,5020.82523501835,967.962984448085,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1985,5,2,34078.7493896901,49948.2854824765,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1985,5,3,4882.73210918112,7163.14577329118,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1985,6,3,2945.50288260395,2352.65722321887,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"GCL",1986,3,2,15809.1170789956,0,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"GCL",1986,4,2,61724.1585173474,2775.32520743312,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1986,4,3,2178.10969940559,17.5305907986719,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1986,5,2,50683.7817666142,6503.54405407578,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1986,5,3,6735.38663659787,540.505702896375,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1986,6,3,676.446301039386,478.83595773053,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1986,3,2,16808.2857098026,0,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1986,4,2,87793.3715717776,10278.0882530512,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
