"lake","smolt_year","est","lwr_80","upr_80","cv","estimate_date","interpolated"
"Hucuktlis",2009,517976.210581998,224246.728184153,1055874.89836678,0.608066416035613,2009-03-01,"No"
"Great Central",2010,7145159.09551306,5328687.18325135,9372363.60710945,0.221459998873011,2010-03-01,"No"
"Sproat",2010,3064302.91985665,2181672.48826068,4318704.21464135,0.271179223817701,2010-03-01,"No"
"Hucuktlis",2010,946246.756030124,433999.062936473,1832172.01493225,0.541036520244504,2010-03-01,"No"
"Great Central",2011,12157545.1203708,8977474.10924239,16155895.9978529,0.233611478952021,2011-03-01,"No"
"Sproat",2011,7117253.01781036,5307788.32646422,9466022.09677349,0.226702607244408,2011-03-01,"No"
"Hucuktlis",2011,948015.273172845,420080.266625226,1869862.86971435,0.569877003237574,2011-03-01,"No"
"Great Central",2012,20940554.1406425,16203920.6364681,26661427.3509368,0.195968548843864,2012-03-01,"No"
"Sproat",2012,8288206.51020238,6119251.82216694,11176741.5114461,0.242520780403608,2012-03-01,"No"
"Hucuktlis",2012,3504237.78588094,2165922.59777952,5433382.65338002,0.358731223706069,2012-03-01,"No"
"Great Central",2013,11481572.8804289,8871862.93161763,14836671.7866985,0.202813939553751,2013-03-01,"No"
"Sproat",2013,11290804.6704447,8976337.52617439,14007462.8877759,0.175216258857773,2013-03-01,"No"
"Hucuktlis",2013,2149821.14974163,1223098.35960686,3603861.52189186,0.427033053438641,2013-03-01,"No"
"Great Central",2014,8930916.2286301,6816942.56353532,11536172.1733244,0.208703873132088,2014-03-01,"No"
"Sproat",2014,3962311.31407425,2659375.43351962,5822269.72914501,0.306861404047125,2014-03-01,"No"
"Hucuktlis",2014,1032096.17058027,460713.623005032,2010566.1179661,0.561686784053814,2014-03-01,"No"
"Great Central",2015,1522633.00097392,768743.538752769,2799962.51283573,0.497851028116533,2015-03-01,"No"
"Sproat",2015,4792835.56115567,3172153.35600206,6764859.11033758,0.296283657890038,2015-03-01,"No"
"Hucuktlis",2015,504786.089845962,185174.878157703,1157992.55252651,0.692583950633549,2015-03-01,"No"
"Great Central",2016,2592768.90724398,1224573.07812132,4982283.0032467,0.543265209332357,2016-03-01,"No"
"Sproat",2016,2933990.67080907,1812675.33975196,4695375.68170787,0.363559883533811,2016-03-01,"No"
"Hucuktlis",2016,672304.938079436,231092.190589143,1631439.0570599,0.801471621442811,2016-03-01,"No"
"Great Central",2017,9031250.72253651,5804028.26979396,13673708.1749301,0.331163248644334,2017-03-01,"No"
"Sproat",2017,2960834.84532599,1631729.27272723,4981411.85103876,0.43555842697119,2017-03-01,"No"
"Hucuktlis",2017,3341955.09026484,602499.614201602,9428579.57004368,0.909436839834122,2017-03-01,"Yes"
"Great Central",2018,14560974.7420522,10816698.2223804,19314297.9780695,0.227758699563972,2018-03-01,"No"
"Sproat",2018,5240305.00700371,3595790.69905631,7532717.55546506,0.293457319070416,2018-03-01,"No"
"Hucuktlis",2018,3326847.42998448,600614.464547508,9455885.23340071,0.911910773329246,2018-03-01,"Yes"
"Great Central",2019,7368729.93484653,4377483.6043979,11583312.9162748,0.380576572354982,2019-03-01,"No"
"Sproat",2019,1263264.08486392,507617.004687932,2790074.5506302,0.651664792933625,2019-03-01,"No"
"Hucuktlis",2019,3343505.02692407,579377.73676744,8938045.41510169,0.882804144779424,2019-03-01,"Yes"
"Great Central",2020,903796.265414532,395566.780603433,1846148.46089348,0.579377894440377,2020-03-01,"No"
"Sproat",2020,2684868.8623267,1315706.74085204,5048164.26954993,0.517530627012221,2020-03-01,"No"
"Hucuktlis",2020,3190736.65531882,519836.528108157,8861642.36214823,0.911572534163746,2020-03-01,"Yes"
