"year","lake","sample_days","rate_age1","rate_age2","rate_age1+","prop_age1","prop_age2","prop_age1+"
2019,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2020,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2021,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2022,"Hucuktlis",NA,NA,NA,NA,NA,NA,NA
2023,"Hucuktlis",NA,NA,NA,2.6,NA,NA,NA
1977,"Sproat",5,48.6,2.6,0.666666666666667,0.937017994858612,0.0501285347043702,0.012853470437018
1978,"Sproat",3,56,0.666666666666667,0.142857142857143,0.985750209555742,0.0117351215423303,0.00251466890192791
1979,"Sproat",7,91.2857142857143,0.142857142857143,0,0.9984375,0.0015625,0
1980,"Sproat",5,87.8,0,2.33333333333333,0.974112426035503,0,0.025887573964497
1981,"Sproat",6,91.5,2.33333333333333,5.33333333333333,0.922689075630252,0.0235294117647059,0.053781512605042
1982,"Sproat",3,127.333333333333,5.33333333333333,1.4,0.94977623073098,0.0397812033814023,0.0104425658876181
1983,"Sproat",5,78.8,1.4,2.8,0.949397590361446,0.0168674698795181,0.0337349397590361
1984,"Sproat",5,96.6,2.8,0,0.971830985915493,0.028169014084507,0
1985,"Sproat",3,104.333333333333,0,2.5,0.976599063962558,0,0.0234009360374415
1986,"Sproat",2,105.5,2.5,5.02944295940679,0.933385118405733,0.0221181307679084,0.0444967508263582
1987,"Sproat",8,57.0955570405932,5.02944295940679,1.66666666666667,0.895031593059593,0.0788416923747635,0.0261267145656434
1988,"Sproat",9,126.111111111111,1.66666666666667,2.257293121999,0.96982383474309,0.0128170550847104,0.0173591101721995
1989,"Sproat",9,119.853817989112,2.257293121999,2.33333333333333,0.963111037412508,0.018138962587492,0.01875
1990,"Sproat",12,48.4166666666667,2.33333333333333,16.6150338145033,0.718721032635225,0.034637158199288,0.246641809165487
1991,"Sproat",8,173.134966185497,16.6150338145033,3,0.898235881636818,0.0861999160285515,0.0155642023346304
1992,"Sproat",7,58.8571428571429,3,1.99077881619938,0.921833339513647,0.0469866508004529,0.0311800096858997
1993,"Sproat",12,128.842554517134,1.99077881619938,3.4,0.959840237276886,0.014830733669228,0.0253290290538863
1994,"Sproat",10,98.9,3.4,3.33333333333333,0.936257494477753,0.0321868097191543,0.0315556958030925
1995,"Sproat",9,111.666666666667,3.33333333333333,5.77777777777778,0.924563017479301,0.0275988960441582,0.0478380864765409
1996,"Sproat",9,143.666666666667,5.77777777777778,3.29925571112749,0.940573434585779,0.0378266191790104,0.0215999462352106
1997,"Sproat",8,144.700744288872,3.29925571112749,0.142857142857143,0.976764908410904,0.0222707714348046,0.000964320154291225
1998,"Sproat",7,172.285714285714,0.142857142857143,7.99560136554622,0.954892637819156,0.000791784940148554,0.044315577240695
1999,"Sproat",8,162.879398634454,7.99560136554622,0.515151515151515,0.950342812551015,0.0466514633125777,0.00300572413640683
